'Date','Barnacles [%]','Crustose algae [%]','Mussels [%] ','Bare rock [%]'
22/10/87,92.81,53.23,0.00,7.19
21/11/87,91.09,53.73,3.23,8.91
21/12/87,94.57,59.16,5.78,5.43
20/01/88,95.20,63.96,7.62,4.80
19/02/88,95.57,68.33,8.70,4.43
20/03/88,95.58,69.68,8.99,4.42
19/04/88,91.87,63.72,8.56,8.00
19/05/88,84.79,52.00,7.50,14.87
18/06/88,77.17,38.64,5.87,22.30
18/07/88,71.86,27.76,1.66,27.55
17/08/88,70.36,21.70,0.00,29.31
16/09/88,69.76,16.86,0.00,30.58
16/10/88,69.46,12.68,0.83,31.64
15/11/88,69.14,8.99,4.62,32.46
15/12/88,68.49,5.60,17.32,33.00
14/01/89,67.18,2.34,18.62,33.24
13/02/89,42.22,0.62,17.46,13.14
15/03/89,35.91,10.84,16.32,13.17
14/04/89,34.70,15.45,16.13,13.23
14/05/89,34.78,15.27,18.00,13.32
13/06/89,35.01,14.96,20.57,13.49
13/07/89,35.41,14.61,22.41,13.80
12/08/89,36.01,14.30,24.51,14.30
11/09/89,36.87,14.13,30.89,15.04
11/10/89,43.14,21.40,37.86,28.93
10/11/89,42.30,21.14,34.15,35.83
10/12/89,38.88,18.96,24.07,40.31
09/01/90,35.19,16.62,14.46,43.11
08/02/90,33.20,15.35,7.18,44.20
10/03/90,37.88,16.57,1.17,42.68
09/04/90,48.72,18.98,0.00,38.82
09/05/90,56.28,19.50,0.00,35.14
08/06/90,62.82,19.38,0.00,30.81
08/07/90,69.16,19.14,0.00,25.98
07/08/90,74.83,18.76,0.00,21.25
06/09/90,79.37,18.25,0.00,17.23
06/10/90,82.30,17.61,0.00,14.50
05/11/90,83.15,16.74,0.00,13.68
05/12/90,81.43,11.93,0.00,15.14
04/01/91,78.25,6.05,0.00,17.07
03/02/91,74.96,4.88,1.85,17.41
05/03/91,70.46,4.97,4.90,16.98
04/04/91,65.22,5.14,6.00,16.22
04/05/91,60.11,5.41,6.00,15.23
03/06/91,56.01,5.78,6.31,14.13
03/07/91,53.80,6.24,13.39,13.04
02/08/91,57.36,8.26,21.67,11.85
01/09/91,71.75,14.45,30.75,10.24
